"","seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"525","chr2R",3818194,3818915,722,"*","ENCFF515LPH_peak_1690",96,".",3.02132,11.8798,9.62374,460,"chr2R",3818300,3818866,"ENCFF708WHR_peak_989",50,".",2.44397,7.05685,5.07872,307,566,"Distal Intergenic",2,3943429,3949757,6329,1,"FBgn0266632","FBtr0344922",-124514,"19835838","asRNA:CR45139","antisense RNA:CR45139"
"526","chr2R",3828966,3829389,424,"*","ENCFF515LPH_peak_1691",92,".",3.21612,11.462,9.2255,157,"chr2R",3828970,3829368,"ENCFF708WHR_peak_993",48,".",2.54651,6.82275,4.8629,128,398,"Distal Intergenic",2,3943429,3949757,6329,1,"FBgn0266632","FBtr0344922",-114040,"19835838","asRNA:CR45139","antisense RNA:CR45139"
"527","chr2R",3843705,3843994,290,"*","ENCFF515LPH_peak_1693",30,".",2.1045,4.77204,3.09093,125,"chr2R",3843542,3843954,"ENCFF708WHR_peak_994",29,".",2.08271,4.67585,2.93254,283,250,"Distal Intergenic",2,3943429,3949757,6329,1,"FBgn0266632","FBtr0344922",-99435,"19835838","asRNA:CR45139","antisense RNA:CR45139"
"528","chr2R",3858551,3858953,403,"*","ENCFF515LPH_peak_1695",50,".",2.4836,6.97053,5.03399,266,"chr2R",3858545,3859373,"ENCFF708WHR_peak_995",60,".",2.63571,8.13458,6.07482,266,403,"Distal Intergenic",2,3943429,3949757,6329,1,"FBgn0266632","FBtr0344922",-84476,"19835838","asRNA:CR45139","antisense RNA:CR45139"
"529","chr2R",3864681,3864984,304,"*","ENCFF515LPH_peak_1696",64,".",2.77816,8.47919,6.42286,142,"chr2R",3864662,3864959,"ENCFF708WHR_peak_996",31,".",2.1863,4.91463,3.1439,43,279,"Distal Intergenic",2,3943429,3949757,6329,1,"FBgn0266632","FBtr0344922",-78445,"19835838","asRNA:CR45139","antisense RNA:CR45139"
"530","chr2R",3872016,3872492,477,"*","ENCFF515LPH_peak_1697",65,".",2.38715,8.5847,6.52124,224,"chr2R",3872166,3872469,"ENCFF708WHR_peak_997",42,".",2.18097,6.18294,4.28139,93,303,"Distal Intergenic",2,3943429,3949757,6329,1,"FBgn0266632","FBtr0344922",-70937,"19835838","asRNA:CR45139","antisense RNA:CR45139"
"531","chr2R",3895654,3897594,1941,"*","ENCFF515LPH_peak_1700",133,".",2.86305,15.77,13.3333,434,"chr2R",3895726,3896970,"ENCFF708WHR_peak_1000",53,".",2.18571,7.38994,5.38144,881,1244,"Distal Intergenic",2,3943429,3949757,6329,1,"FBgn0266632","FBtr0344922",-45835,"19835838","asRNA:CR45139","antisense RNA:CR45139"
"532","chr2R",4033442,4033772,331,"*","ENCFF515LPH_peak_1711",68,".",2.71052,8.98296,6.89495,163,"chr2R",4033412,4033820,"ENCFF708WHR_peak_1008",69,".",2.7248,9.05566,6.931,183,331,"Intron (FBtr0113784/FBgn0046706, intron 4 of 4)",2,4014111,4049342,35232,1,"FBgn0046706","FBtr0113784",19331,"3355064","Haspin","haspin"
"533","chr2R",4050684,4051109,426,"*","ENCFF515LPH_peak_1714",36,".",2.39196,5.36996,3.60234,142,"chr2R",4050643,4051186,"ENCFF708WHR_peak_1009",41,".",2.5302,6.02899,4.1412,285,426,"Distal Intergenic",2,4014111,4049342,35232,1,"FBgn0046706","FBtr0113784",36573,"3355064","Haspin","haspin"
"534","chr2R",4059598,4060125,528,"*","ENCFF515LPH_peak_1715",67,".",2.85878,8.84357,6.76453,275,"chr2R",4059720,4060024,"ENCFF708WHR_peak_1010",27,".",2.19066,4.49617,2.78177,213,304,"Distal Intergenic",2,4014111,4049342,35232,1,"FBgn0046706","FBtr0113784",45487,"3355064","Haspin","haspin"
"535","chr2R",4074966,4076186,1221,"*","ENCFF515LPH_peak_1717",89,".",2.67487,11.179,8.95696,657,"chr2R",4075012,4075862,"ENCFF708WHR_peak_1011",41,".",2.13348,6.02524,4.1378,605,850,"Distal Intergenic",2,4130974,4132830,1857,1,"FBgn0262115","FBtr0111298",-54788,"3355011","CG17683","uncharacterized protein"
"536","chr2R",4078247,4078648,402,"*","ENCFF515LPH_peak_1718",47,".",2.25479,6.69935,4.78672,237,"chr2R",4078403,4078820,"ENCFF708WHR_peak_1013",44,".",2.25864,6.37404,4.45077,115,245,"Distal Intergenic",2,4130974,4132830,1857,1,"FBgn0262115","FBtr0111298",-52326,"3355011","CG17683","uncharacterized protein"
"537","chr2R",4101777,4102066,290,"*","ENCFF515LPH_peak_1720",40,".",2.17301,5.82032,4.00029,82,"chr2R",4101747,4102264,"ENCFF708WHR_peak_1015",48,".",2.27419,6.80637,4.84746,313,290,"Distal Intergenic",2,4130974,4132830,1857,1,"FBgn0262115","FBtr0111298",-28908,"3355011","CG17683","uncharacterized protein"
"538","chr2R",4140776,4141641,866,"*","ENCFF515LPH_peak_1722",46,".",2.20058,6.50826,4.61319,287,"chr2R",4140655,4141223,"ENCFF708WHR_peak_1017",31,".",1.98899,4.95453,3.1797,263,448,"Distal Intergenic",2,4130974,4133484,2511,1,"FBgn0262115","FBtr0111300",9802,"3355011","CG17683","uncharacterized protein"
"539","chr2R",4166609,4167052,444,"*","ENCFF515LPH_peak_1725",70,".",2.37954,9.17476,7.07105,283,"chr2R",4166662,4166954,"ENCFF708WHR_peak_1020",36,".",2.02974,5.44331,3.61051,180,292,"Distal Intergenic",2,4186835,4188127,1293,2,"FBgn0262116","FBtr0334986",21075,"3355016","RNASEK","Ribonuclease kappa"
"540","chr2R",4171487,4173089,1603,"*","ENCFF515LPH_peak_1727",134,".",2.91943,15.8732,13.4316,825,"chr2R",4172041,4172868,"ENCFF708WHR_peak_1021",79,".",2.51857,10.1286,7.93628,507,827,"Distal Intergenic",2,4186835,4188127,1293,2,"FBgn0262116","FBtr0334986",15038,"3355016","RNASEK","Ribonuclease kappa"
"541","chr2R",4173823,4174119,297,"*","ENCFF515LPH_peak_1728",63,".",2.32748,8.44672,6.39279,143,"chr2R",4173936,4174481,"ENCFF708WHR_peak_1022",35,".",2.02715,5.42871,3.5975,142,183,"Distal Intergenic",2,4186835,4188127,1293,2,"FBgn0262116","FBtr0334986",14008,"3355016","RNASEK","Ribonuclease kappa"
"542","chr2R",4212346,4212803,458,"*","ENCFF515LPH_peak_1731",131,".",3.19976,15.5733,13.1442,209,"chr2R",4212115,4212979,"ENCFF708WHR_peak_1023",146,".",3.45102,17.1933,14.6394,468,458,"Distal Intergenic",2,4187490,4188127,638,2,"FBgn0262116","FBtr0111266",-24219,"3355016","RNASEK","Ribonuclease kappa"
"543","chr2R",4232728,4233495,768,"*","ENCFF515LPH_peak_1735",90,".",2.40246,11.2804,9.05343,592,"chr2R",4232958,4233351,"ENCFF708WHR_peak_1024",38,".",2.037,5.75848,3.89529,177,393,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",9439,"3355010","IntS3","Integrator 3"
"544","chr2R",4252604,4253132,529,"*","ENCFF515LPH_peak_1736",61,".",2.53192,8.20484,6.16651,240,"chr2R",4252605,4253005,"ENCFF708WHR_peak_1027",49,".",2.51273,6.96284,4.99191,239,400,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-9670,"3355010","IntS3","Integrator 3"
"545","chr2R",4253266,4253667,402,"*","ENCFF515LPH_peak_1737",31,".",2.08817,4.7977,3.11278,240,"chr2R",4253312,4253740,"ENCFF708WHR_peak_1028",59,".",2.71418,8.02366,5.97208,210,355,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-10332,"3355010","IntS3","Integrator 3"
"546","chr2R",4259263,4259837,575,"*","ENCFF515LPH_peak_1738",50,".",2.39589,6.95198,5.0171,408,"chr2R",4259463,4259848,"ENCFF708WHR_peak_1029",47,".",2.31506,6.66654,4.71852,133,374,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-16329,"3355010","IntS3","Integrator 3"
"547","chr2R",4260114,4260483,370,"*","ENCFF515LPH_peak_1739",49,".",2.40653,6.87386,4.9458,123,"chr2R",4260177,4260519,"ENCFF708WHR_peak_1030",104,".",3.07142,12.7479,10.4057,224,306,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-17180,"3355010","IntS3","Integrator 3"
"548","chr2R",4260859,4261902,1044,"*","ENCFF515LPH_peak_1740",141,".",3.39271,16.5964,14.1243,756,"chr2R",4260843,4262024,"ENCFF708WHR_peak_1031",175,".",3.73373,20.2215,17.5296,771,1044,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-17925,"3355010","IntS3","Integrator 3"
"549","chr2R",4271106,4271937,832,"*","ENCFF515LPH_peak_1743",61,".",2.38609,8.19207,6.15505,413,"chr2R",4271282,4271807,"ENCFF708WHR_peak_1033",50,".",2.33524,7.01807,5.04319,282,525,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-28172,"3355010","IntS3","Integrator 3"
"550","chr2R",4271986,4272857,872,"*","ENCFF515LPH_peak_1744",143,".",3.28645,16.791,14.3113,620,"chr2R",4272115,4272833,"ENCFF708WHR_peak_1034",149,".",3.49952,17.4984,14.9299,475,718,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-29052,"3355010","IntS3","Integrator 3"
"551","chr2R",4281311,4282178,868,"*","ENCFF515LPH_peak_1745",76,".",2.70885,9.78544,7.64559,178,"chr2R",4281483,4281967,"ENCFF708WHR_peak_1035",41,".",2.32132,6.08666,4.19356,215,484,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-38377,"3355010","IntS3","Integrator 3"
"552","chr2R",4297177,4298108,932,"*","ENCFF515LPH_peak_1747",132,".",2.57439,15.668,13.2351,224,"chr2R",4297156,4297879,"ENCFF708WHR_peak_1037",63,".",2.2674,8.39338,6.31134,128,703,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-54243,"3355010","IntS3","Integrator 3"
"553","chr2R",4298425,4300028,1604,"*","ENCFF515LPH_peak_1748",185,".",3.07634,21.2583,18.5974,1012,"chr2R",4298935,4300028,"ENCFF708WHR_peak_1038",129,".",3.2008,15.3709,12.9003,752,1093,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-55491,"3355010","IntS3","Integrator 3"
"554","chr2R",4312049,4313657,1609,"*","ENCFF515LPH_peak_1750",60,".",2.32038,8.03486,6.01367,670,"chr2R",4312480,4313413,"ENCFF708WHR_peak_1039",43,".",2.11874,6.24369,4.33712,454,933,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-69115,"3355010","IntS3","Integrator 3"
"555","chr2R",4321036,4321887,852,"*","ENCFF515LPH_peak_1751",51,".",2.4091,7.14969,5.19268,350,"chr2R",4321473,4322123,"ENCFF708WHR_peak_1040",32,".",2.09159,5.00924,3.22831,482,414,"Distal Intergenic",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-78102,"3355010","IntS3","Integrator 3"
"556","chr2R",4335595,4336374,780,"*","ENCFF515LPH_peak_1753",53,".",2.3764,7.36643,5.39305,167,"chr2R",4335544,4336187,"ENCFF708WHR_peak_1041",59,".",2.47251,8.02462,5.97288,229,593,"Intron (FBtr0345363/FBgn0260798, intron 13 of 14)",2,4235779,4242934,7156,2,"FBgn0262117","FBtr0111268",-92661,"3355010","IntS3","Integrator 3"
"557","chr2R",4362998,4363467,470,"*","ENCFF515LPH_peak_1756",30,".",1.91457,4.71531,3.04251,197,"chr2R",4362734,4363666,"ENCFF708WHR_peak_1042",41,".",2.13636,6.04129,4.15224,692,470,"Intron (FBtr0345363/FBgn0260798, intron 10 of 14)",2,4322295,4471060,148766,2,"FBgn0260798","FBtr0345363",107593,"3355013","Gprk1","G protein-coupled receptor kinase 1"
"558","chr2R",4413364,4413937,574,"*","ENCFF515LPH_peak_1760",52,".",2.08576,7.20464,5.24359,274,"chr2R",4413222,4413962,"ENCFF708WHR_peak_1044",77,".",2.36599,9.96352,7.7811,581,574,"Intron (FBtr0345363/FBgn0260798, intron 6 of 14)",2,4322295,4471060,148766,2,"FBgn0260798","FBtr0345363",57123,"3355013","Gprk1","G protein-coupled receptor kinase 1"
"559","chr2R",4429635,4430144,510,"*","ENCFF515LPH_peak_1762",37,".",2.00557,5.57126,3.77967,234,"chr2R",4429308,4430099,"ENCFF708WHR_peak_1045",31,".",1.91464,4.95033,3.17606,559,465,"Intron (FBtr0345363/FBgn0260798, intron 5 of 14)",2,4322295,4471060,148766,2,"FBgn0260798","FBtr0345363",40916,"3355013","Gprk1","G protein-coupled receptor kinase 1"
"560","chr2R",4444475,4445302,828,"*","ENCFF515LPH_peak_1765",57,".",2.44226,7.72359,5.72319,679,"chr2R",4444512,4444901,"ENCFF708WHR_peak_1047",37,".",2.18855,5.57536,3.73022,253,389,"Intron (FBtr0345363/FBgn0260798, intron 5 of 14)",2,4322295,4471060,148766,2,"FBgn0260798","FBtr0345363",25758,"3355013","Gprk1","G protein-coupled receptor kinase 1"
"561","chr2R",4452750,4453405,656,"*","ENCFF515LPH_peak_1768",39,".",2.13505,5.72732,3.91745,271,"chr2R",4452810,4453109,"ENCFF708WHR_peak_1048",33,".",2.04131,5.13997,3.34493,197,299,"Intron (FBtr0345363/FBgn0260798, intron 5 of 14)",2,4322295,4471060,148766,2,"FBgn0260798","FBtr0345363",17655,"3355013","Gprk1","G protein-coupled receptor kinase 1"
"562","chr2R",4470893,4471604,712,"*","ENCFF515LPH_peak_1769",80,".",2.64334,10.1933,8.02619,432,"chr2R",4470950,4471762,"ENCFF708WHR_peak_1049",129,".",3.20545,15.401,12.9288,505,654,"Promoter (<=1kb)",2,4322295,4471060,148766,2,"FBgn0260798","FBtr0345363",0,"3355013","Gprk1","G protein-coupled receptor kinase 1"
"563","chr2R",4481316,4482608,1293,"*","ENCFF515LPH_peak_1770",69,".",2.44595,9.09368,6.99438,424,"chr2R",4481320,4482506,"ENCFF708WHR_peak_1050",78,".",2.67393,10.0648,7.87655,828,1186,"Distal Intergenic",2,4322437,4471060,148624,2,"FBgn0260798","FBtr0302242",-10256,"3355013","Gprk1","G protein-coupled receptor kinase 1"
"564","chr2R",4488685,4490473,1789,"*","ENCFF515LPH_peak_1771",85,".",2.54237,10.7239,8.52925,1439,"chr2R",4488767,4490303,"ENCFF708WHR_peak_1051",66,".",2.47501,8.72894,6.62398,1201,1536,"Distal Intergenic",2,4507995,4508445,451,1,"FBgn0264909","FBtr0334987",-17522,"14462535","lncRNA:CR44100","long non-coding RNA:CR44100"
"565","chr2R",4516720,4517155,436,"*","ENCFF515LPH_peak_1773",48,".",2.15134,6.74742,4.83077,167,"chr2R",4516483,4517155,"ENCFF708WHR_peak_1053",51,".",2.20694,7.09282,5.1126,255,436,"Promoter (<=1kb)",2,4516000,4516458,459,2,"FBgn0040007","FBtr0111120",-262,"3355144","RpL38","Ribosomal protein L38"
"566","chr2R",4555434,4555761,328,"*","ENCFF515LPH_peak_1776",84,".",2.52465,10.5982,8.4097,128,"chr2R",4555439,4555729,"ENCFF708WHR_peak_1055",61,".",2.29219,8.2117,6.14696,142,290,"Intron (FBtr0308810/FBgn0046692, intron 1 of 3)",2,4546691,4565281,18591,1,"FBgn0046692","FBtr0111111",8743,"3355135","Stlk","Ste20-like kinase"
"567","chr2R",4618929,4619381,453,"*","ENCFF515LPH_peak_1781",35,".",2.06087,5.33573,3.57875,257,"chr2R",4618629,4619201,"ENCFF708WHR_peak_1057",46,".",2.22631,6.5418,4.60444,277,273,"Promoter (<=1kb)",2,4619030,4620833,1804,1,"FBgn0032997","FBtr0299924",0,"3355138","CG17486","uncharacterized protein"
"568","chr2R",4624438,4624786,349,"*","ENCFF515LPH_peak_1782",37,".",2.09879,5.53617,3.74857,200,"chr2R",4624251,4624683,"ENCFF708WHR_peak_1058",38,".",2.14724,5.68775,3.83138,165,246,"Promoter (1-2kb)",2,4621118,4622481,1364,2,"FBgn0267585","FBtr0347016",-1957,"26067251","lncRNA:dntRL","downstream non-coding target of Rpd3 and Loco"
"569","chr2R",4630305,4630637,333,"*","ENCFF515LPH_peak_1783",34,".",1.90658,5.21162,3.46997,245,"chr2R",4630278,4630568,"ENCFF708WHR_peak_1059",31,".",1.95559,4.94253,3.169,146,264,"Distal Intergenic",2,4621118,4622481,1364,2,"FBgn0267585","FBtr0347016",-7824,"26067251","lncRNA:dntRL","downstream non-coding target of Rpd3 and Loco"
"570","chr2R",4678866,4679260,395,"*","ENCFF515LPH_peak_1789",42,".",2.16878,6.11637,4.2655,217,"chr2R",4678689,4679284,"ENCFF708WHR_peak_1062",42,".",2.27428,6.10318,4.20866,354,395,"Distal Intergenic",2,4671853,4673639,1787,1,"FBgn0040005","FBtr0334996",7013,"3355139","CG17883","uncharacterized protein"
"571","chr2R",4689744,4690478,735,"*","ENCFF515LPH_peak_1790",46,".",2.21562,6.59336,4.6907,235,"chr2R",4690078,4690553,"ENCFF708WHR_peak_1064",43,".",2.1653,6.30818,4.39608,154,400,"Distal Intergenic",2,4671853,4673639,1787,1,"FBgn0040005","FBtr0334996",17891,"3355139","CG17883","uncharacterized protein"
"572","chr2R",4730053,4730499,447,"*","ENCFF515LPH_peak_1791",37,".",1.90911,5.5365,3.74885,277,"chr2R",4730028,4730450,"ENCFF708WHR_peak_1065",33,".",1.92753,5.18487,3.38526,186,398,"Promoter (<=1kb)",2,4730481,4731395,915,1,"FBgn0267027","FBtr0345980",0,"19834754","lncRNA:CR45471","long non-coding RNA:CR45471"
"573","chr2R",4763982,4765304,1323,"*","ENCFF515LPH_peak_1795",114,".",2.81498,13.8214,11.472,1083,"chr2R",4764095,4765225,"ENCFF708WHR_peak_1066",97,".",2.78056,12.0445,9.74178,967,1130,"Distal Intergenic",2,4749189,4758048,8860,1,"FBgn0039994","FBtr0345008",14793,"3355133","conu","conundrum"
"574","chr2R",4769954,4771130,1177,"*","ENCFF515LPH_peak_1796",52,".",2.03858,7.22653,5.26394,608,"chr2R",4770322,4770872,"ENCFF708WHR_peak_1067",34,".",1.87028,5.275,3.46598,447,550,"Distal Intergenic",2,4782890,4785362,2473,1,"FBgn0267733","FBtr0347293",-11760,"26067381","lncRNA:CR46064","long non-coding RNA:CR46064"
"575","chr2R",4805984,4806607,624,"*","ENCFF515LPH_peak_1801",81,".",2.32114,10.3452,8.17018,281,"chr2R",4805965,4806521,"ENCFF708WHR_peak_1068",114,".",2.71523,13.8777,11.4808,319,538,"Distal Intergenic",2,4786302,4788965,2664,2,"FBgn0250830","FBtr0345222",-17019,"3355145","CG12547","uncharacterized protein"
"576","chr2R",4845948,4846255,308,"*","ENCFF515LPH_peak_1804",44,".",2.1682,6.32463,4.44704,72,"chr2R",4845804,4846442,"ENCFF708WHR_peak_1070",53,".",2.35743,7.38889,5.38049,252,308,"Distal Intergenic",2,4829246,4830587,1342,1,"FBgn0033000","FBtr0345361",16702,"3355132","CG14464","uncharacterized protein"
"577","chr2R",4848888,4849635,748,"*","ENCFF515LPH_peak_1805",50,".",2.19077,6.99251,5.05402,673,"chr2R",4849116,4849591,"ENCFF708WHR_peak_1071",46,".",2.20254,6.6287,4.68411,206,475,"Distal Intergenic",2,4829246,4830587,1342,1,"FBgn0033000","FBtr0345361",19642,"3355132","CG14464","uncharacterized protein"
"578","chr2R",4924109,4924748,640,"*","ENCFF515LPH_peak_1811",70,".",2.77638,9.14789,7.04585,240,"chr2R",4924164,4924819,"ENCFF708WHR_peak_1078",68,".",3.06905,8.982,6.86196,410,584,"Intron (FBtr0336974/FBgn0040849, intron 3 of 7)",2,4917519,5021955,104437,1,"FBgn0040849","FBtr0336974",6590,"2768714","Ir41a","Ionotropic receptor 41a"
"579","chr2R",5300925,5301605,681,"*","ENCFF515LPH_peak_1838",61,".",2.11029,8.17095,6.13518,540,"chr2R",5300920,5301666,"ENCFF708WHR_peak_1092",72,".",2.26929,9.4485,7.29534,299,681,"Distal Intergenic",2,5307288,5329495,22208,1,"FBgn0261403","FBtr0086084",-5683,"35486","sxc","super sex combs"
"580","chr2R",5303572,5304463,892,"*","ENCFF515LPH_peak_1839",78,".",2.29782,10.0315,7.87369,354,"chr2R",5304049,5304394,"ENCFF708WHR_peak_1093",29,".",1.82124,4.74197,2.99095,155,345,"Distal Intergenic",2,5307288,5329495,22208,1,"FBgn0261403","FBtr0086084",-2825,"35486","sxc","super sex combs"
"581","chr2R",5350412,5350981,570,"*","ENCFF515LPH_peak_1847",42,".",2.03182,6.09044,4.24225,100,"chr2R",5350320,5350709,"ENCFF708WHR_peak_1094",42,".",2.11258,6.10768,4.21259,191,298,"Promoter (<=1kb)",2,5350477,5351972,1496,1,"FBgn0033019","FBtr0347210",0,"35490","CG10395","uncharacterized protein"
"582","chr2R",5366550,5366920,371,"*","ENCFF515LPH_peak_1849",40,".",2.1537,5.92966,4.09813,128,"chr2R",5366623,5367120,"ENCFF708WHR_peak_1095",25,".",2.0339,4.27578,2.59074,244,297,"Exon (FBtr0302350/FBgn0261429, exon 7 of 8)",2,5363253,5367357,4105,1,"FBgn0261429","FBtr0335261",3297,"10178834","lncRNA:CR42646","long non-coding RNA:CR42646"
"583","chr2R",5375382,5375762,381,"*","ENCFF515LPH_peak_1852",30,".",1.93653,4.75632,3.07742,83,"chr2R",5375118,5375535,"ENCFF708WHR_peak_1097",24,".",1.93216,4.08839,2.42947,274,154,"Distal Intergenic",2,5363253,5367357,4105,1,"FBgn0261429","FBtr0335261",12129,"10178834","lncRNA:CR42646","long non-coding RNA:CR42646"
"584","chr2R",5376065,5376367,303,"*","ENCFF515LPH_peak_1853",25,".",1.85324,4.16025,2.5809,72,"chr2R",5376023,5376435,"ENCFF708WHR_peak_1098",26,".",1.97835,4.29898,2.6107,226,303,"Distal Intergenic",2,5363253,5367357,4105,1,"FBgn0261429","FBtr0335261",12812,"10178834","lncRNA:CR42646","long non-coding RNA:CR42646"
"585","chr2R",5387609,5388782,1174,"*","ENCFF515LPH_peak_1855",74,".",2.66283,9.52675,7.40199,250,"chr2R",5387614,5388470,"ENCFF708WHR_peak_1099",37,".",2.14705,5.58304,3.73696,669,856,"Distal Intergenic",2,5363253,5367357,4105,1,"FBgn0261429","FBtr0335261",24356,"10178834","lncRNA:CR42646","long non-coding RNA:CR42646"
"586","chr2R",5390916,5391666,751,"*","ENCFF515LPH_peak_1856",34,".",1.95535,5.18913,3.45041,667,"chr2R",5390634,5391375,"ENCFF708WHR_peak_1101",32,".",1.93478,5.06849,3.28141,626,460,"Distal Intergenic",2,5413744,5447974,34231,1,"FBgn0286203","FBtr0299918",-22078,"35494","stw","straw"
"587","chr2R",5552615,5552906,292,"*","ENCFF515LPH_peak_1866",35,".",2.01428,5.35623,3.59016,179,"chr2R",5552560,5552971,"ENCFF708WHR_peak_1103",83,".",2.60336,10.5504,8.33055,232,292,"Distal Intergenic",2,5527193,5549543,22351,1,"FBgn0050438","FBtr0335263",25422,"246614","Ugt50B3","UDP-glycosyltransferase family 50 member B3"
"588","chr2R",5562832,5563121,290,"*","ENCFF515LPH_peak_1867",30,".",2.18834,4.70546,3.03388,267,"chr2R",5562903,5563212,"ENCFF708WHR_peak_1104",46,".",2.55716,6.57361,4.63328,191,218,"Distal Intergenic",2,5527193,5549543,22351,1,"FBgn0050438","FBtr0335263",35639,"246614","Ugt50B3","UDP-glycosyltransferase family 50 member B3"
"589","chr2R",5570063,5570492,430,"*","ENCFF515LPH_peak_1869",69,".",2.60154,9.02826,6.93512,160,"chr2R",5569993,5570501,"ENCFF708WHR_peak_1105",92,".",2.9884,11.5078,9.23641,233,430,"Distal Intergenic",2,5603587,5604617,1031,2,"FBgn0039969","FBtr0345012",34125,"49892","Fis1","Fission, mitochondrial 1"
"590","chr2R",5570592,5571347,756,"*","ENCFF515LPH_peak_1870",204,".",3.98809,23.2198,20.4838,485,"chr2R",5570600,5571365,"ENCFF708WHR_peak_1106",125,".",3.386,14.9702,12.5191,489,747,"Distal Intergenic",2,5603587,5604617,1031,2,"FBgn0039969","FBtr0345012",33270,"49892","Fis1","Fission, mitochondrial 1"
"591","chr2R",5571413,5572086,674,"*","ENCFF515LPH_peak_1871",73,".",2.58322,9.52277,7.39827,496,"chr2R",5571430,5572086,"ENCFF708WHR_peak_1107",54,".",2.42274,7.48519,5.47032,498,656,"Distal Intergenic",2,5603587,5604617,1031,2,"FBgn0039969","FBtr0345012",32531,"49892","Fis1","Fission, mitochondrial 1"
"592","chr2R",5576750,5577337,588,"*","ENCFF515LPH_peak_1872",46,".",2.26291,6.51227,4.61658,86,"chr2R",5576662,5577037,"ENCFF708WHR_peak_1108",43,".",2.25068,6.21786,4.3132,118,288,"Distal Intergenic",2,5603587,5604617,1031,2,"FBgn0039969","FBtr0345012",27280,"49892","Fis1","Fission, mitochondrial 1"
"593","chr2R",5583127,5583444,318,"*","ENCFF515LPH_peak_1873",41,".",2.22475,5.97342,4.13736,100,"chr2R",5583215,5583605,"ENCFF708WHR_peak_1109",34,".",2.14993,5.28511,3.47501,174,229,"Distal Intergenic",2,5603587,5604617,1031,2,"FBgn0039969","FBtr0345012",21173,"49892","Fis1","Fission, mitochondrial 1"
"594","chr2R",5590496,5591195,700,"*","ENCFF515LPH_peak_1874",60,".",2.47629,8.04533,6.02347,487,"chr2R",5590513,5590872,"ENCFF708WHR_peak_1110",30,".",2.16963,4.84515,3.08186,60,359,"Distal Intergenic",2,5603587,5604617,1031,2,"FBgn0039969","FBtr0345012",13422,"49892","Fis1","Fission, mitochondrial 1"
"595","chr2R",5652837,5653430,594,"*","ENCFF515LPH_peak_1879",46,".",1.98911,6.50363,4.60911,207,"chr2R",5652798,5653528,"ENCFF708WHR_peak_1111",104,".",2.54453,12.7632,10.4202,259,594,"Promoter (<=1kb)",2,5641673,5652815,11143,2,"FBgn0033028","FBtr0086072",-22,"35499","hrm","hermes"
"596","chr2R",5906313,5906756,444,"*","ENCFF515LPH_peak_1893",96,".",2.76231,11.9231,9.66515,222,"chr2R",5906310,5906755,"ENCFF708WHR_peak_1113",74,".",2.52924,9.62746,7.46383,199,443,"Intron (FBtr0307307/FBgn0263109, intron 2 of 3)",2,5893895,5931363,37469,1,"FBgn0263109","FBtr0307307",12418,"35519","CG43366","uncharacterized protein"
"597","chr2R",5981156,5981534,379,"*","ENCFF515LPH_peak_1897",32,".",1.79331,4.95115,3.24467,249,"chr2R",5981009,5981415,"ENCFF708WHR_peak_1114",56,".",2.16536,7.67411,5.64631,99,260,"Promoter (<=1kb)",2,5981844,6012500,30657,1,"FBgn0264959","FBtr0335275",-310,"35524","Src42A","Src oncogene at 42A"
"598","chr2R",6035577,6036734,1158,"*","ENCFF515LPH_peak_1902",63,".",2.06438,8.45295,6.39859,730,"chr2R",6036374,6036842,"ENCFF708WHR_peak_1116",38,".",1.98246,5.68956,3.83301,213,360,"Promoter (<=1kb)",2,6026273,6036388,10116,2,"FBgn0033052","FBtr0086027",0,"35529","SCAP","SREBP cleavage activating protein"
"599","chr2R",6076019,6076704,686,"*","ENCFF515LPH_peak_1904",48,".",1.92413,6.73663,4.82106,224,"chr2R",6076131,6076880,"ENCFF708WHR_peak_1117",50,".",2.10419,7.04343,5.06676,407,573,"Promoter (<=1kb)",2,6074471,6076367,1897,2,"FBgn0284246","FBtr0302508",0,"35536","l(2)k09848","lethal (2) k09848"
